+------+---------+--+
|tag_id|parent_id|id|
+------+---------+--+
|3     |2        |2 |
|4     |3        |3 |
|5     |4        |4 |
|6     |4        |5 |
|7     |4        |6 |
|8     |4        |7 |
|9     |4        |8 |
|10    |4        |9 |
|11    |4        |10|
|12    |4        |11|
|13    |4        |12|
|14    |4        |13|
|15    |5        |14|
|15    |6        |15|
|15    |7        |16|
|15    |8        |17|
|15    |9        |18|
|15    |10       |19|
|15    |11       |20|
|15    |12       |21|
|15    |13       |22|
|15    |14       |23|
|16    |5        |24|
|16    |6        |25|
|16    |7        |26|
|16    |8        |27|
|16    |9        |28|
|16    |10       |29|
|16    |11       |30|
|16    |12       |31|
|16    |13       |32|
|16    |14       |33|
|17    |15       |34|
|17    |16       |35|
|18    |15       |36|
|18    |16       |37|
|19    |17       |38|
|19    |18       |39|
|20    |17       |40|
|20    |18       |41|
|2     |1        |1 |
+------+---------+--+
